vopros;otvet1;otvet2;otvet3;prav_otv;
Что такое питон?;Змея;Язык_программирования;Язык;Язык_программирования
Как переводится инструкция if на русский язык?;если;или;из;если;
Continue - это цикл или же оператор?;цикл;оператор;ни_один_из_вариантов;цикл;
Что делает list([object]) ?;Показывает объект;Создает объект;Создает список;Создает список;
Что такое and ?;И;Логическое И;Функция;Логическое И;
Что такое break?;Выход из цикла;Выход из программы;Возвращение в цикл;Выход из цикла;
Что такое not?;Нет;Не;Логическое Не;Логическое Не;
С помощью какого ключевого слова можно создать произвольную функцию?;if;def;function;def
ак называются такие символы как "+, -, *, /" и т.д?;функции;операторы;операнды;операторы
Какая из функций добавляет элемент в список?;pop();append();remove();append()
Что такое or?;Или;Логическое или;Функция;Логическое или
Какой символ используется для комментирования?;//;#;/*;#
Какая из функций добавляет элемент в список?;pop();append();remove();append()
Как называется прибавление одной строки к другой?;конкатенация;сложение;соединение;конкатенация
Какая функция заменяет все буквы нижнего регистра на верхние в строке?;up();upper();capitalize();upper()
Какая функция возвращает индекс элемента с указанным значением?;index();sort();indexOf();index()
Какая функция из какого модуля используется для генерации случайного числа?;shuffle() из random;now() из datetime;randint() из random;randint() из random
Какой из функции возвращает количество элементов в строке/списке?;len();append();count();len()
Как называются такие символы как "+, -, *, /" и т.д?;функции;операторы;операнды;операторы
Какой тип данных возвращает данное выражение? | print(20 == 20);boolean;int;string;boolean